Nombre: Dario, Operacion: ((23+23)*2-(23+23)/2), Fecha: Fri Oct 27 00:00:13 CST 2023, Resultado: 69.0
Nombre: Dario, Operacion: (-22), Fecha: Fri Oct 27 00:00:29 CST 2023, Resultado: -22.0
Nombre: Dario, Operacion: (-22+(22*2)), Fecha: Fri Oct 27 00:01:04 CST 2023, Resultado: 22.0
Nombre: Dario, Operacion: (-432+(22*2)), Fecha: Fri Oct 27 00:01:12 CST 2023, Resultado: -388.0
Nombre: Dario, Operacion: (342+1), Fecha: Fri Oct 27 17:41:03 CST 2023, Resultado: 343.0
Nombre: Darioo, Operacion: (23+23), Fecha: Fri Oct 27 17:45:13 CST 2023, Resultado: 46.0
Nombre: Darioo, Operacion: (4+5  ), Fecha: Fri Oct 27 17:46:41 CST 2023, Resultado: 9.0
Nombre: Darioo, Operacion: ((1+3)/2), Fecha: Fri Oct 27 17:49:13 CST 2023, Resultado: 2.0
Nombre: Brayan, Operacion: (5+2), Fecha: Fri Oct 27 22:13:35 CST 2023, Resultado: 7.0
Nombre: Brayann, Operacion: (f&v^v|(v^v^f)&f|v), Fecha: Fri Oct 27 23:11:13 CST 2023, Resultado: true
Nombre: Brayann, Operacion: ((f&f)^v|((v^f)&(~f))&f|v), Fecha: Fri Oct 27 23:11:42 CST 2023, Resultado: true
Nombre: Brayann, Operacion: ((f&f)^v|((v^f)&(~f))&f|v), Fecha: Fri Oct 27 23:11:47 CST 2023, Resultado: true
Nombre: Brayann, Operacion: ((f^f)|(v&v)), Fecha: Fri Oct 27 23:12:03 CST 2023, Resultado: true
Nombre: Dario, Operacion: (f&v^v&(v^v^f)&f&v), Fecha: Fri Oct 27 23:12:38 CST 2023, Resultado: false
Nombre: Dario, Operacion: (3*((5+3)*1+(-3/3+5))), Fecha: Fri Oct 27 23:12:48 CST 2023, Resultado: 36.0
Nombre: , Operacion: (3*((5+3)*1+(-3/3+5))), Fecha: Fri Oct 27 23:35:58 CST 2023, Resultado: 36.0
Nombre: b, Operacion: ((3^5)-(10/5)+(20*(-2))), Fecha: Fri Oct 27 23:37:03 CST 2023, Resultado: 201.0
Nombre: , Operacion: (f&v^v|((~f)^v^f)&f|v), Fecha: Fri Oct 27 23:38:14 CST 2023, Resultado: true
Nombre: , Operacion: ((f^f)|((~f)&v)), Fecha: Fri Oct 27 23:38:26 CST 2023, Resultado: true
Nombre: , Operacion: ((f^f)|((~f)&v)), Fecha: Fri Oct 27 23:38:27 CST 2023, Resultado: true
Nombre: , Operacion: (f&(~f)^v&(v^v^f)&f&v), Fecha: Fri Oct 27 23:38:36 CST 2023, Resultado: false
Nombre: , Operacion: (f&v^v|(v^v^f)&f|v), Fecha: Fri Oct 27 23:40:41 CST 2023, Resultado: true
